EFG_Code,EFG_Val,Biome_Code,EFG_LongName,EFG_ShortName,update,ShortDesc,KeyFeats,DistributionSum,url
S1.2,55,S1,S1.2 Endolithic systems,S1.2 Endolithic systems,2020-01-20T12:00:00Z,"The matrices and fissures of rocks host abundant microscopic life throughout the Earth’s crust, which is still at an early stage of exploration. While some fissures support simple invertebrates, most organisms are unicellular. Blue-green algae may occur in near-surface layers of rock, but most energy comes from chemical synthesis of minerals. Rates of growth and reproduction are slow, and limited by the supply of energy. At depth, microbes tolerate high pressures and temperatures.",Microbial systems within lithic matrices and interstitial spaces with truncated trophic networks founded on lithautotrophs and lacking photoautotrophs (except near surface) and high-order predators.,Throughout the Earth’s crust to depths of 4-7 km,https://global-ecosystems.org/explore/groups/S1.2
S2.1,57,S2,S2.1 Anthropogenic subterranean voids,S2.1 Anthropogenic subterranean voids,2020-01-20T12:00:00Z,"Industrial excavations create artificial voids that resemble caves. Like caves, they lack inputs of solar energy, and plants and herbivores are absent, except at their openings or around artificial lighting. They are colonised by opportunistic invertebrates and vertebrates, and microbes from the rock matrix or imported materials. Diversity is low, but depends on proximity to openings, human activity during occupation and time since excavation.","Dry or humid subterranean voids created by mining or infrastructure development and colonised by opportunistic microbes, invertebrates and sometimes vertebrates.",Associated with urban and industrial infrastructure worldwide,https://global-ecosystems.org/explore/groups/S2.1
SF1.1,59,SF1,SF1.1 Underground streams and pools,SF1.1 Underground streams and pools,2020-01-20T12:00:00Z,"These dark aquatic systems buried below ground have varied levels of connectivity to surface waters, which influence their traits and processes profoundly. Microbial mats composed of bacteria and aquatic fungi on submerged rock surfaces are major food sources for protozoans and invertebrates, especially in systems that are isolated from surface waters. Larger water bodies support predatory fish. When connectivity is strong, inflow brings a supply of nutrients and organic matter, as well as itinerant biota.","Water-filled subterranean voids with low diversity of light-limited bacteria, fungi, detrivores and predators.",Scattered lobally in limestone or more rarely basalt or other lithic substrates,https://global-ecosystems.org/explore/groups/SF1.1
SF1.2,60,SF1,SF1.2 Groundwater ecosystems,SF1.2 Groundwater ecosystems,2020-01-20T12:00:00Z,"Low productivity ecosystems occur within water-saturated permeable rock strata or layers of buried unconsolidated sediments. Life in these dark, confined or connected ecosystems is almost completely comprised of microbial and small invertebrate detritivores and their protozoan consumers. Diversity and productivity decline with depth and connectivity to surface waters. Although groundwater ecosystems occur almost everywhere in the near surface crust, they are prominent below surface water and in artesian basins.",Saturated ecosystems at or below the watertable with low diversity communities of heterotrophic microbes and invertebrates,Scattered globally throughout land masses,https://global-ecosystems.org/explore/groups/SF1.2
SF2.1,62,SF2,SF2.1 Water pipes and subterranean canals,SF2.1 Water pipes and canals,2020-01-20T12:00:00Z,"Waters flowing rapidly through artificial conduits are typically bereft of their own primary producers in the absence of light and rely on imported algae and detritus as sources of energy. These support simple bacterial and fungal communities in biofilms and largely itinerant invertebrates. Diversity, abundance and productivity are low, but filter feeders may colonise and productivity may be higher if source waters supply nutrients and organic carbon.","Artificial flowing waterbodies that carry water with variable flow regime, limited light, sometimes with high carbon and nutrients supporting opportunities aquatic detritivores and predators","Ubiquitous in developed regions of the world, most commonly in urban landscapes and irrigation areas",https://global-ecosystems.org/explore/groups/SF2.1
SF2.2,63,SF2,SF2.2 Flooded mines and other voids,SF2.2 Flooded mines,2020-05-31T17:21:14Z,"Disused subterranean mines and other voids may fill with static or slowing moving water from seepage. The inhabitants of these ecosystems include biofilms comprising bacteria, aquatic fungi and protists that originated as colonists from surrounding groundwaters, or imported with people.  As well as the lack of light and low nutrient levels, productivity and diversity may be limited by heavy metals and toxins liberated during construction and mining of the voids.","Underground largely static low-productivity waterbodies often with large of warm groundwater or seepage, colonised by opportunistic microbes and invertebrates",Common in mineral rich regions of the world,https://global-ecosystems.org/explore/groups/SF2.2
SM1.1,65,SM1,SM1.1 Anchialine caves,SM1.1 Anchialine caves,2020-01-20T12:00:00Z,Anchialine caves contain water bodies that have a subterranean connection to the sea and no or little direct connection to the atmosphere. These ecosystems are structured by strong salinity gradients. A primarily marine community influenced by tides and currents at the cave entrance transitioning to a more insular and specialised biota in still brackish waters influenced by rainfall percolation deep in the landward section of the cave.  They occur where carbonate rocks and lava tubes meet coastlines worldwide.,"Cave-bound waterbodies connected to the sea with a gradient of tidal influence and salinity. Filter feeders, scavengers and predators limited by light and nutrients","Limestone, basalt and more rarely lithic substrates coastal regions globally",https://global-ecosystems.org/explore/groups/SM1.1
SM1.2,66,SM1,SM1.2 Anchialine pools,SM1.2 Anchialine pools,2020-05-31T17:30:39Z,"Anchialine pools are brackish surface water bodies that have a subterranean connection to the sea. They are associated with carbonate substrates and lava flows on the coast and have a stronger terrestrial influence than other subterranean systems. Exposure to the surface enables algal primary producers to inhabit the water column and the benthos. Diversity and productivity of these aquatic ecosystems increases with age and connectivity to the sea. Some anchialine pools are highly insular, with molluscs and crustacean species found nowhere else.","Open pools with subterranean connections to the sea and groundwater, and dynamic, diverse trophic networks","Limestone, basalt and more rarely lithic substrates coastal regions globally",https://global-ecosystems.org/explore/groups/SM1.2
SM1.3,67,SM1,SM1.3 Sea caves,SM1.3 Sea caves,2020-05-31T17:36:14Z,"Sea caves are formed by waves action on fissures in a wide range of rocky coastlines around the world. Unlike anchialine caves, salinity gradients are weak and a strong marine influence is maintained throughout their extent. They support a range of sessile invertebrates (e.g. sponges, cnidarians, bryozoans), mobile invertebrates (e.g. molluscs, crustaceans, annelids,) and fish. Some organisms appear to be exclusive to sea caves, some shelter in sea caves diurnally, and others are itinerant visitors.","Wave-exposed caves provide dim light and shelter to cave-exclusive, resident and transient/ migratory invertebrates and fish.","Coastal headlands, rocky and coral reefs globally",https://global-ecosystems.org/explore/groups/SM1.3
TF1.1,70,TF1,TF1.1 Tropical flooded forests and peat forests,TF1.1 Trop flooded/peat forests,2020-06-05T11:58:13Z,"These tropical swamps have closed forest canopies and experience high rainfall and consistent temperatures all year. In some, peat accumulates in anaerobic black water conditions, while others are highly productive white-water systems, with frequent refilling and turnover of nutrients. Trees and other plants, such as palms, pitcher plants, epiphytic mosses and ferns grow in soils that are waterlogged or periodically inundated.","Evergreen closed-canopy forests in tropical swamps and riparian zones, differing between high and low nutrients waters, and supporting complex trophic networks","Equatorial lowlands of Southeast Asia, South America and Central and West Africa",https://global-ecosystems.org/explore/groups/TF1.1
TF1.2,71,TF1,TF1.2 Subtropical/temperate forested wetlands,TF1.2 Temp forested wetlands,2020-06-05T12:06:35Z,"Forested wetlands in temperate and subtropical climates undergo periodic flooding. One or two tree species dominate the canopy. Trees shape the flow of flood waters, the ground surface, and the understorey, as well as animal habitats. With flooding, complex aquatic food webs support turtles, frogs, fish and birds, but can produce microbial blooms with nutrients flushed from the floodplain. Many vertebrates use these wetlands as refuges during dry times.","Permently to seasonally wet (or flooded), nutrient poor, to nutrient rich, open to closed canopy forests, often on organic soils (peat); poor in woody species, high abundance of mosses and sedges and no to open woody species cover","Subtropical to temperate regions of both hemispheres, mostly in humid climates",https://global-ecosystems.org/explore/groups/TF1.2
TF1.3,72,TF1,TF1.3 Permanent marshes,TF1.3 Permanent marshes,2020-06-05T12:07:07Z,"Permanent marshes occur throughout tropical and temperate regions of the world in flat areas with stable water levels close to the surface. They are essentially treeless, with extensive reedbeds and aquatic grasses, interspersed with patches of open water. Food webs are strongly influenced by highly productive algae and plants, providing food for large numbers of invertebrates, waterbirds, reptiles, and mammals.","Shallow permanently inundated freshwater wetlands, dominated by herbaceous macrophytes, supporting high primary productivity and complex trophic networks with abundant insects, birds and amphibians",Mainly on floodplains in catchments with humid tropical or temperate climates,https://global-ecosystems.org/explore/groups/TF1.3
TF1.4,73,TF1,TF1.4 Seasonal floodplain marshes,TF1.4 Seasonal floodplain marshes,2020-06-05T12:07:35Z,"Seasonal flooding and drying regimes characterise high productivity floodplain marshes in the seasonal tropics and subhumid temperate regions. Typically, different plants respond to the mosaic of variable flooding regimes, supporting complex networks of invertebrates, waterbirds, reptiles, and mammals. Prey concentrate as the wetlands dry, and many plants and animals use specialised adaptations such as seed banks or egg banks, to survive drying.","High productivity wetlands with strongly seasonal water regimes, supporting functionally diverse mosaics of aquatic plants and seasonally variable trophic networks of invertebrates, amphibians, crocodilians and birds",Seasonal tropics and subhumid temperate regions,https://global-ecosystems.org/explore/groups/TF1.4
TF1.5,74,TF1,TF1.5 Episodic arid floodplains,TF1.5 Episodic arid floodplains,2020-06-05T12:07:59Z,"Episodic arid floodplains rarely flood and are predominantly dry, sometimes for years.  They are supplied by temporary rivers in semi-arid and arid regions of all continents. When floods come, there is a spike in productivity as nutrients mobilise from leaf litter and organic matter. At such times, dormant plants and animals form complex food webs, capitalising on short periods of high productivity.","Highly productive floodplains when flooded, supporting highly diverse and complex trophic networks, followed by long periods of low productivity when dry",Semi-ard and arid regions,https://global-ecosystems.org/explore/groups/TF1.5
TF1.6,75,TF1,"TF1.6 Boreal, temperate and montane peat bogs",TF1.6 Boreal/temperate bogs,2020-06-05T12:08:21Z,"Peat bogs in the boreal-subarctic and temperate areas of the world account for up to 40% of the world’s soil carbon. They are landscape sponges, with highly specialised plant life including shrubs, sedges and mosses equipped to grow in acidic, nutrient-poor, low-oxygen, waterlogged soils. Sphagnum moss and other peat-forming plants are foundational to these ecosystems. Insects are the dominant animal group, along with amphibians, reptiles, rodents and a few visiting birds.","Permanently ground water-logged (by rainwater-fed ground water,) nutrient poor, acidic sites on organic soils (peat); species poor, but high abundance of mosses, sedges and no to open woody species cover","Boreal and temperate humid zones of the northern hemisphere, limited occurrences in the southern hemisphere (southern South America, southern Australasia)",https://global-ecosystems.org/explore/groups/TF1.6
TF1.7,76,TF1,TF1.7 Boreal and temperate fens,TF1.7 Boreal/temperate fens,2020-06-05T12:08:43Z,"Fens occur extensively in boreal-subarctic and cool temperate regions. Like peat bogs, with which they may form mosaics, they have waterlogged organic soils, but they are rich in mineral nutrients and typically neutral or alkaline in pH. The vegetation comprises a low diversity of small plants, fungi and brown mosses, but woody plants are generally absent. They support insects, specialised frogs and some birds. Shallow standing water or permafrost may be present.","Permanently groundwater-logged, nutrient poor to (moderately) nutrient-rich sites, often organic soils; high abundance of mosses, sedges and no to open woody species cover","Boreal and temperate zones of the northern hemisphere, limited occurrences in the southern hemisphere (southern South America, southern Australasia, possibly South Africa)",https://global-ecosystems.org/explore/groups/TF1.7
F1.1,81,F1,F1.1 Permanent upland streams,F1.1 Perm upland streams,2020-06-24T09:42:01Z,"These small rivers or streams in mountainous or hilly areas are characterised by steep gradients and fast flow. They flow all year, increasing in wet periods, in humid tropical and temperate zones. Stones are common along their rapids and pools, turning over and oxygenating the water. Dependent organisms are specialised for these high flow-velocity environments, with resources for food webs derived mainly from the stream and inputs from adjacent and upstream vegetation.","High-medium velocity, low-medium volume perennial flows with abundant benthic filter feeders, algal biofilms & small fish",Global uplands with wet climates,https://global-ecosystems.org/explore/groups/F1.1
F1.2,82,F1,F1.2 Permanent lowland rivers,F1.2 Perm lowland rivers,2020-06-24T09:37:51Z,"Lowland rivers with slow continuous flows up to 10,000m<sup>3</sup>/s are common at low elevations throughout tropical and temperate parts of the world. These are productive ecosystems with major energy and fine sediment inputs from floodplains and upper catchments. Zooplankton can be abundant, along with aquatic plants and diverse communities of fish able to tolerate a range of temperatures and oxygen concentrations, as well as reptiles, birds, and mammals that depend wholly or partly on lowland lotic aquatic habitats.","Low-medium velocity, high volume, perennial flows with abundant zooplankton, fish, macrophytes, macroinvertebrates & piscivores",Global lowlands fed by wet uplands,https://global-ecosystems.org/explore/groups/F1.2
F1.3,83,F1,F1.3 Freeze-thaw rivers and streams,F1.3 Freeze-thaw streams,2020-06-24T09:38:29Z,"In cold climates at high latitudes or altitudes, the surfaces of both small streams and large rivers freeze in winter. In winter, the layer of surface ice reduces nutrient inputs and light penetration, limiting the productivity of these ecosystems and the diversity of their biota. In spring, meltwaters transport increased organic matter and nutrients, producing seasonal peaks in abundance of algae and phytoplankton.  Animals, such as fish and beavers, tolerate near-freezing water temperatures, while a range of invertebrates and other vertebrates come to forage from spring to autumn.",Cold-climate streams with seasonally frozen surface water and variable melt flows and aquatic biota with cold-resistance and/or seasonal dormancy,"High latitudes and/or high mountains, especially boreal regions",https://global-ecosystems.org/explore/groups/F1.3
F1.4,84,F1,F1.4 Seasonal upland streams,F1.4 Season upland strems,2020-06-24T09:39:44Z,"Seasonal rainfall patterns in large parts of the tropics and temperate regions generate flows that are hugely variable in narrow and steep upland streams. Globally, these streams account for the greatest stream length of any flowing ecosystem. During the dry season, flows in some streams are reduced to very levels, while in others flow ceases altogether and water persists only in isolated stagnant pools. Algae and leaf fall support moderate productivity, with seasonal floods sending organic matter downstream. The diversity of organisms fluctuates seasonally, with many localised (endemic) species, and specialised adaptations that enable animals to survive both flooding and dry conditions.","High-medium velocity, low-medium volume, highly seasonal flows with abundant benthic filter feeders, algal biofilms & small fish",Extensive in wet-dry tropics and temperate zones,https://global-ecosystems.org/explore/groups/F1.4
F1.5,85,F1,F1.5 Seasonal lowland rivers,F1.5 Season lowland rivers,2020-06-24T09:40:20Z,"These medium to large rivers in tropical, subtropical and temperate lowlands have markedly seasonal flows due to seasonal water supply in the catchments. Their single or multi-channelled forms link to floodplain wetlands, and transport large floods during wet seasons: summer in the tropics or winter-spring in temperate latitudes. Productivity is high, both within channels and on connected floodplains, with algae and aquatic plants supporting complex food webs, and providing seasonal nurseries for breeding animals.",Highly productive large rivers with seasonal hydrology large floodplain subsidies. Short food chains support large mobile predaors,"Tropical, subtropical and temperate lowlands",https://global-ecosystems.org/explore/groups/F1.5
F1.6,86,F1,F1.6 Episodic arid rivers,F1.6 Episodic arid rivers,2020-06-24T09:40:59Z,"These desert rivers occur mostly in flat areas of arid and semi-arid mid-latitudes. Channels are typically broad, flat, and often branching, with soft sandy sediments. They are dry most of the time, but punctuated by high-volume, short duration flows that transport nutrients and stimulate high productivity by algae and zooplankton. Plants and animals can either tolerate or avoid long, dry periods and then exploit short pulses of abundant resources, producing hotspots of biodiversity and ecological activity in arid landscapes.","Rivers with high temporal flow variability which determines periods of high and low productivity, supporting high levels of biodiversity and complex trophic networks during floods and simple trophic networks during dry periods",Arid and semi-arid landscapes in mid-latitudes mostly in lowlands,https://global-ecosystems.org/explore/groups/F1.6
F1.7,87,F1,F1.7 Large lowland rivers,F1.7 Large rivers,2020-06-24T09:41:29Z,"These very large rivers transport massive volumes of freshwater (>10,000m<sup>3</sup>/s) through flat lowlands, mostly in tropical or subtropical regions. Their very large flow volumes, diverse habitats and slow to moderate flows make them highly productive. High nutrient levels come from upstream catchments and floodplains, with additional productivity contributed by in-channel algae and aquatic plants. Their food webs are complex, with a high diversity of plants and animals, including large-bodied fish, reptiles and mammals.","Large highly productive rivers with megaflow rates and complex food webs, reflecting the extent of habitat, connections with floodplains and available niches for plants, invertebrates and large vertebrates including aquatic mammals.","Tropical and subtropical lowlands, with some in temperate regions with large catchments topped by wet mountain ranges",https://global-ecosystems.org/explore/groups/F1.7
F2.1,92,F2,F2.1 Large permanent freshwater lakes,F2.1 Large perm lakes,2020-06-24T09:42:24Z,"Large volumes of permanent water in these lakes buffers water temperatures and effects of nutrient input on water quality. The spatial extent and range of habitats support very large numbers of species in some groups such as fish, some of which are unique to a single lake, often composed of closely related species, endemic to a lake. The high primary productivity from algae and aquatic plants lake supports diverse foodwebs. High numbers of plankton support large numbers of waterbugs, fish, frogs, reptiles, waterbirds, and mammals. Bacteria play key roles in cycling organic matter.","Large (usually >100km2) permanent freshwater lakes connected to rivers, with high spatial and bathymetric niche diversity supporting complex trophic networks supported by planktonic algae, high diversity and endemism",Humid temperate and tropical regions,https://global-ecosystems.org/explore/groups/F2.1
F2.2,93,F2,F2.2 Small permanent freshwater lakes,F2.2 Small perm lakes,2020-06-24T09:42:39Z,"With a surface area of up to 100 km<sup>2</sup>, the diversity of small permanent lakes, ponds and pools depends on their size, depth and connectivity. Littoral vegetation and benthic energy pathways are critical to productivity and food web complexity. Deep lakes have plankton, supporting fish, birds and frogs, in different habitats of the lake. Shallow lakes are often more productive, providing breeding habitat for birds, frogs and reptiles, but limited buffering against nutrient inputs may result in regime shifts between alternative stable states dominated either by large aquatic plants or phytoplankton.","Small permanent freshwater lakes or ponds with niche diversity strongly related to size and depth, and resource subsidies from catchments. Littoral zones and benthic macrophytes are important contributors to productivity",Predominantly in humid temperate and tropical regions,https://global-ecosystems.org/explore/groups/F2.2
F2.3,94,F2,F2.3 Seasonal freshwater lakes,F2.3 Seasonal lakes,2020-06-24T09:42:53Z,"Small seasonal lakes, pools and rock holes have plants and animals specialised to seasonally changing wet and dry conditions in temperate and wet-dry tropical regions. Their energy comes mostly from algae and plants. To survive the annual wet/dry cycles, the animals and plants have dormant life stages, such as eggs or seeds, within the lake sediments, or they shelter in damp burrows or other refuges. Plants and animals can build up high abundances during wet seasons, supporting plankton and waterbugs, frogs, birds and mammals but, in most cases, no fish.","Mostly small and shallow well mixed freshwater lakes with seasonal patterns of filling and seasonally variable abundance and composition of aquatic biota, including species with dormant life phases and some that retreat to refuges in dry seasons",Mainly subhumid temperate (including Mediterranean-type climate zones) and wet-dry tropical regions,https://global-ecosystems.org/explore/groups/F2.3
F2.4,95,F2,F2.4 Freeze-thaw freshwater lakes,F2.4 Freeze-thaw lakes,2020-06-24T09:43:11Z,"Many plants and animals survive surface freezing of freshwater lakes, in dormant life stages, by reducing activity beneath the ice, or by moving. Such freshwater lakes vary enormously in size and distribution, providing a wide range of habitats for many organisms, which undergo a succession of emergence during lake thaw. The annual thaw triggers highly productive plant and animal activity, beginning with diatom algae and then zooplankton. Habitat diversity increases with lake size, increasing the variety of plankton, aquatic plants, waterbugs, birds, and sometimes fish.","Waterbodies with frozen surfaces for at least one month of the year, with spring thaw initiating trophic successional dynamics beginning with a flush of diatom productivity. Deeper lakes may be cold stratified and fish tolerate oxygen depletion in winter","Boreal regions, cool temperate continental Eurasia and North America and high altitudes of South America regions",https://global-ecosystems.org/explore/groups/F2.4
F2.5,96,F2,F2.5 Ephemeral freshwater lakes,F2.5 Ephemeral lakes,2020-06-24T09:43:42Z,"These are shallow lakes that are mostly dry, and then fill for weeks or months, before drying again. During dry periods, many animals or plants survive as eggs, seeds or other dormant forms, while other species disperse. Floods, bring water from surrounding catchments and floodplains with organic matter, nutrients and fine sediments, and trigger movement of birds and mammals. Floods activate simple foodwebs, comprising abundant algae, zooplankton, waterbugs and crustaceans, which have rapid life-cycles able to exploit windows of productivity. This produces food for frogs and visiting waterbirds.","Shallow temporary lakes, depressions or pans with long dry periods of low productivity, punctuated by episodes of inflow that bring large resource subsidies from catchments, resulting in high productivity, population turnover and trophic connectivity","Semi-arid and arid regions at mid latitudes of Africa, southern Australia, Eurasia, Europe and western parts of North and South America",https://global-ecosystems.org/explore/groups/F2.5
F2.6,97,F2,F2.6 Permanent salt and soda lakes,F2.6 Perm salt lakes,2020-06-24T09:43:55Z,"These lakes are usually large and shallow in semi-arid regions, with high concentrations of salts, mediated by inflows of water.  Their productivity from growth of algae and plants can support large numbers, but low diversity of organisms equipped with tolerance to high salinity and other solutes. They have relatively simple foodwebs, with high numbers of microbes and plankton, crustaceans, insect larvae, fish and specialised waterbirds such as flamingos.","Permanent waterbodies with high inorganic solute concentrations (particularly sodium), supporting simple trophic networks, including cyanobacteria and algae, invertebrates and specialist birds","Mostly in semi-arid regions of Africa, southern Australia, Eurasia, Europe and western North and South America",https://global-ecosystems.org/explore/groups/F2.6
F2.7,98,F2,F2.7 Ephemeral salt lakes,F2.7 Ephem salt lakes,2020-06-24T09:44:10Z,"Ephemeral salt lakes in semi-arid and arid regions are shallow, with extreme variation in salinity during wet-dry cycles that limits life to a low diversity of specialised salt-tolerant species. The lakes are dry and salt-encrusted most of the time, but episodic inundation dilutes salt, allowing high growth of algae and larger plants which support crustaceans, insect larvae, fish and specialist waterbirds. These species use dormant life stages to survive drying, or disperse rapidly to other habitats when the lake dries.","Salt lakes with salt crusts in long dry phases and short productive wet phases. Trophic networks are simple but high productivity is driven by bacteria and phytoplankton, supporting specialist birds","Mostly in arid and semi-arid Africa, Eurasia, Australia and North and South America",https://global-ecosystems.org/explore/groups/F2.7
F2.8,99,F2,F2.8 Artesian springs and oases,F2.8 Artesian springs/oases,2020-06-24T09:44:50Z,"Surface waterbodies fed by (often warm) groundwaters rising to the surface are scattered in dry landscapes of Africa, the Middle East, Eurasia, North America and Australia, but also occur in humid landscapes. Algae, floating plants and leaf fall support waterbugs, crustaceans and small fish making simple foodwebs with some locally restricted species found nowhere else. These ecosystems are sometimes important waterholes for birds and mammals, in otherwise dry landscapes.","Groundwater dependent ecosystems from artesian waters discharged to the surface, maintaining relatively stable water levels. Often insular systems with high endemism","Mostly in arid regions in Africa, the Middle East, central Eurasia, southwest of North America and Australia’s Great Artesian basin",https://global-ecosystems.org/explore/groups/F2.8
F2.9,100,F2,F2.9 Geothermal pools and wetlands,F2.9 Geothermal wetlands,2020-06-24T09:45:05Z,"Geothermal pools and associated wetlands are fed by deeply circulating  groundwater that mixes with magma and hot rocks in volcanically active regions. Mineral concentrations are therefore high and produce chemically precipitated substrates as waters cool. The extreme temperatures and water chemistry limit life to a low diversity of specialised bacteria, extensive algal mats and insect larvae which can live in warm acid or alkaline water with high mineral content. Away from their hottest waters, aquatic plants, crustaceans, frogs, fish, snakes and birds can all occur.","Hot springs, geysers and mud pots dependent on groundwater interactions with magma and hot rocks, supporting highly specialised low diversity biota tolerate of high temperatures and high concentrations of inorganic salts",Tectonically or active volcanic areas from the tropical to subpolar latitudes,https://global-ecosystems.org/explore/groups/F2.9
F2.10,101,F2,F2.10 Subglacial lakes,F2.10 Subglacial lakes,2020-02-21T14:51:02Z,"These hidden lakes exist beneath permanent ice sheets, sometimes tens to thousands of metres below, mostly in Antarctica and Greenland. Bacteria and other microbes are the only forms of life, but there is a surprising diversity of them. Productivity is very low in the dark and freezing conditions, with species relying on metabolism of chemicals such as methane, iron and sulphur to support the simple foodweb.","Lakes beneath permanent ice sheets with a truncated microbial food web, including chemoautotrophic and heterotrophic of bacteria and archaea","Antarctica, Greenland, Iceland and Canada",https://global-ecosystems.org/explore/groups/F2.10
F3.1,107,F3,F3.1 Large reservoirs,F3.1 Large reservoirs,2020-01-20T12:00:00Z,"Large dams or reservoirs occur in humid, populated areas of the world. Their biological productivity and diversity is generally limited due to their depth and frequent and large changes in water level. Shallow zones have the highest diversity, with simple food webs of algae, waterbugs, birds, frogs and aquatic plants, often supporting introduced fish species.  Plankton live at the surface, but life is scarce in the depths. Algal blooms may be common if there are high nutrient inputs from rivers.","Large, usually deep stratifed waterbodies impounded by walls across outflow channels. Productivity and biotic diversity are lower than unregulated lakes of simila rsize and complexity. Trophic networks are simple","Scattered across all continents with high concentrations in Asia, Europe and North America",https://global-ecosystems.org/explore/groups/F3.1
F3.2,108,F3,F3.2 Constructed lacustrine wetlands,F3.2 Constructed lacustrine wetlands,2020-01-20T12:00:00Z,"Small farm dams, wastewater ponds and mine pits generally form lake-like environments, common in humid and semi-arid climates world-wide. Nutrient inputs vary greatly depending on purpose and surrounding land uses.  They are often warm and shallow, and biological productivity and diversity vary widely depending on the cover and state of fringing vegetation, with the most diverse examples rivalling equivalent natural wetlands.  Aquatic plants, plankton, algae and waterbugs may dominate in the shallows, supporting amphibians, turtles, fish, and waterbirds.","Small, shallow open waterbodies with high or low productivity depending on nutrient subsidies and complexity of littoral zones and benthos Relatively simple trophic networks with algae, macrophytes, zooplankton, aquatic invertebrates and amphibians",Scattered across all regions of the world,https://global-ecosystems.org/explore/groups/F3.2
F3.3,109,F3,F3.3 Rice paddies,F3.3 Rice paddies,2020-01-20T12:00:00Z,"Rice paddies cover more than a million square kilometres mostly in tropical to warm temperate climates, especially Southeast Asia. They are filled by rainfall or river water diversions. Their levees and channels retain shallow water areas, with nutrients inputs from inflows and fertilisers. Planting and harvest establishes a regular cycle of disturbance, with many paddies also supporting production of fish and crustaceans, Their simple foodwebs are adapted to temporary flooding and the harvest cycle, including algae and plankton, waterbugs, frogs and waterbirds.","Artificial wetlands with limited horizontal and vertical heterogeneity, filled seasonally with water from rivers or rainfall and frequently disturbed by planting and harvest of rice. Simple trophic networks with colonists from rivers and wetlands that may also include managed fish populations","Mostly in tropical and subtropical southeastand south Asia, also in Africa, Europe, South America, North America and southeast Australia",https://global-ecosystems.org/explore/groups/F3.3
F3.4,110,F3,F3.4 Freshwater aquafarms,F3.4 Freshwater aquafarms,2020-07-29T19:03:27Z,"Freshwater aquafarms are ponds constructed from earthworks or cages built within freshwater lakes, rivers and reservoirs. They are most common in Asia. and used to produce species. Their commercial production of fish and crustacean involves intensive interventions, including focussed inputs of food and nutrients, and control of competitors, predators and diseases that may limit production of target species. Consequently habitat diversity and primary production are low, and non-target biota is limited to opportunistic colonisers from adjacent water sources, including insects, fish, frogs, waterbirds and some aquatic plants.",Artificial mostly permanent waterbodies managed for production of fish or crustaceans with managed inputs of nutrients and energy Simple trophic networks of opportunistic colonists supported mainly be algal productivity,"Mostly in Asia but also in northern and western Europe, North and West Africa, the Americas, and southeast Australia and New Zealand",https://global-ecosystems.org/explore/groups/F3.4
F3.5,111,F3,"F3.5 Canals, ditches and drains",F3.5 Canals and drains,2020-05-29T11:49:48Z,"Canals, ditches and drains are associated with agriculture and cities throughout the world.  They take freshwater to and from urban and rural areas, particularly in temperate and subtropical regions. They can carry high nutrient and pollutant loads. Diversity of organisms is generally low, but may be high where there are earthen banks and fringing vegetation.  Algae and macrophytes (where present) support microbes and waterbugs and other invertebrates often small fish, amphibians and crustaceans. They are also important pathways for dispersal of some aquatic species.","Artificial streams often with low horizontal and vertical heterogeneity, but with productivity, diversity and trophic structure highly dependent on fringing vegetation and subsidies of nutrients and carbon from catchments",In urban and irrigation landscapes mostly in temperate and subtropical latitudes,https://global-ecosystems.org/explore/groups/F3.5
FM1.1,115,FM1,FM1.1 Deepwater coastal inlets,FM1.1 Deepwater coastal inlets,2020-01-20T12:00:00Z,"Ecosystems in these deep, narrow inlets were mostly formed by glaciers and subsequently flooded (e.g. fjords). They have some features of open oceans, but are strongly influenced by freshwater inflows and the surrounding coast. Productivity by phytoplankton is seasonal and limited by cold, dark winters. Oxygen may be limited in the deepest parts of these systems. The diverse biota includes invertebrates and fish, such as jellyfish and salmon, and predatory marine mammals such as killer whales.","Strong gradients between adjacent terrestrial and freshwater systems,e.g. fjords. Seasonaly abundant plankton, jellies, fish and mammals.",Glaciated coastlines (current or historical) in polar or cool-temperate regions,https://global-ecosystems.org/explore/groups/FM1.1
FM1.2,116,FM1,FM1.2 Permanently open riverine estuaries and bays,FM1.2 Riverine estuaries and bays,2020-01-20T12:00:00Z,"These coastal ecosystems are shifting mosaics of different habitats, depending on the shape of the local coast, and proportional inflow of freshwater and seawater. Combined nutrients from marine, freshwater and land-based sources support very high productivity. Transient large animals like dugongs, dolphins, turtles and shorebirds feed on abundant fish, invertebrates and plant life, and they commonly serve as sheltered nursery areas for fish. Many organisms are adapted to large variations in salinity.","Productive mosaic systems with variable salinity, often nuseries for fish and supporting abundant seabirds and mammals.",Coastlines globally,https://global-ecosystems.org/explore/groups/FM1.2
FM1.3,117,FM1,FM1.3 Intermittently closed and open lakes and lagoons,FM1.3 Closed/open inlets,2020-01-20T12:00:00Z,"Opportunistic, short-lived organisms live in these ecosystems, where conditions change rapidly as lagoon entrances to the open ocean open or close. Periodic opening and closure influences dynamic gradients in salinity, nutrients, temperature, and water level. Algae, invertebrates like shrimps, and small fish rely on nutrients from land and, when open, the sea. Timing of opening or closing depends on transport of sand and mud by currents or freshwater inflow, or on anthropogenic processes.","Shallow water systems, highly variability depending on opening or closing of lagoonal entrance. Detritus-based foodwebs with plankton, invertebrates and small fish.",Wave-dominated coastlines globally,https://global-ecosystems.org/explore/groups/FM1.3
